label,WT,STAT1_0,STAT5_0,IL1R_0,IL12_out_0,FCGR_0,NFKB_0,VEGF_out_0,TLR4_0,IL6_out_0,KLF4_0,STAT6_0,IL10_out_0,SOCS1_0,PPARG_0,STAT3_IL6_0,STAT3_IL10_0,SOCS3_0,IL6R_0,IL10R_0,IFNG_e_0,GMCSF_e_0,IL1B_e_0,IC_e_0,LPS_e_0,NECA_e_0,EGFR_e_0,IL4_e_0,IL6_e_0,IL10_e_0,STAT1_1,STAT5_1,IL1R_1,IL12_out_1,FCGR_1,NFKB_1,VEGF_out_1,TLR4_1,IL6_out_1,KLF4_1,STAT6_1,IL10_out_1,SOCS1_1,PPARG_1,STAT3_IL6_1,STAT3_IL10_1,SOCS3_1,IL6R_1,IL10R_1,IFNG_e_1,GMCSF_e_1,IL1B_e_1,IC_e_1,LPS_e_1,NECA_e_1,EGFR_e_1,IL4_e_1,IL6_e_1,IL10_e_1
M2c,256,256,256,256,256,384,256,320,320,256,256,512,0,256,256,256,0,128,256,0,128,128,160,192,192,160,128,256,128,128,256,256,256,0,0,0,0,160,0,256,0,256,256,256,0,256,256,0,256,128,128,96,64,64,96,128,0,128,128
M2c*,48,48,48,72,48,48,96,48,72,128,48,96,0,48,48,64,0,48,64,0,24,24,48,24,48,24,32,48,32,48,48,48,0,0,0,0,0,0,0,96,0,0,96,0,0,0,64,0,0,24,24,0,24,0,24,16,0,16,0
M2d,64,64,64,64,64,128,76,0,0,64,64,128,32,64,64,64,0,32,64,0,32,32,32,64,0,0,32,64,32,32,64,64,64,0,0,0,344,160,0,76,0,64,80,64,0,64,64,0,64,32,32,32,0,64,64,32,0,32,32
M2d*,16,16,16,16,16,32,60,0,0,56,16,32,0,16,16,16,0,48,16,0,8,8,8,16,0,0,16,16,8,16,16,8,16,0,0,0,168,40,0,60,0,0,72,0,0,0,16,0,0,8,8,8,0,16,16,0,0,8,0
M2,256,256,256,256,256,448,256,160,160,216,256,64,80,256,256,464,32,624,464,32,128,128,144,224,96,80,32,32,128,128,256,256,256,0,0,384,640,400,384,256,448,256,256,256,592,448,464,592,256,128,128,112,32,160,176,224,224,128,128
M2*,508,584,524,532,584,200,544,432,456,424,508,248,80,412,508,80,800,312,80,800,292,262,214,100,176,216,256,124,252,316,240,484,460,0,1024,464,1100,670,480,544,768,384,592,384,48,0,80,48,384,216,246,294,408,332,292,252,384,256,192
M1M2,0,0,0,0,0,0,4,0,0,56,0,0,0,0,0,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,0,8,0,0,4,0,0,0,0,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0
M1M2*,324,0,292,320,0,232,188,284,280,208,324,648,32,420,324,168,256,204,168,256,0,146,136,116,116,142,144,324,164,228,840,420,332,1404,512,464,596,392,352,188,0,192,0,96,160,0,168,160,192,324,178,188,208,208,182,180,0,160,96
NoLabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1/NoLabel*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1M2/NoLabel*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
