involvedStates,basinSize
69058048,524288
69582340,524288
70106628,524288
70630916,524288
71155204,524288
71679488,524288
72203776,524288
72728064,524288
73252352,524288
75873920,524288
76398208,524288
76922496,524288
77446784,524288
77971076,524288
78495364,524288
79019652,524288
79543940,524288
84262400,524288
84786688,524288
85310976,524288
85835264,524288
86359556,524288
86883844,524288
87408132,524288
87932420,524288
88456704,524288
88980992,524288
89505280,524288
90029568,524288
92651200,524288
93175488,524288
93699776,524288
94224064,524288
94748356,524288
95272644,524288
95796932,524288
96321220,524288
101039616,15616
101039872,508672
101563904,15616
101564160,508672
102088192,15616
102088448,508672
102612480,15616
102612736,508672
103137028,512576
103136772,11712
103661316,512576
103661060,11712
104185604,512576
104185348,11712
104709892,512576
104709636,11712
105233920,15616
105234176,508672
105758208,15616
105758464,508672
106282496,15616
106282752,508672
106806784,15616
106807040,508672
109428608,512576
109428352,11712
109952896,512576
109952640,11712
110477184,512576
110476928,11712
111001472,512576
111001216,11712
111525764,512576
111525508,11712
112050052,512576
112049796,11712
112574340,512576
112574084,11712
113098628,512576
113098372,11712
117816832,15616
117817088,508672
118341120,15616
118341376,508672
118865408,15616
118865664,508672
119389696,15616
119389952,508672
119914244,512576
119913988,11712
120438532,512576
120438276,11712
120962820,512576
120962564,11712
121487108,512576
121486852,11712
122011136,15616
122011392,508672
122535424,15616
122535680,508672
123059712,15616
123059968,508672
123584000,15616
123584256,508672
126205888,512576
126205632,11712
126730176,512576
126729920,11712
127254464,512576
127254208,11712
127778752,512576
127778496,11712
128303044,512576
128302788,11712
128827332,512576
128827076,11712
129351620,512576
129351364,11712
129875908,512576
129875652,11712
134580224,155648
135104513,155648
135628800,155648
136153089,155648
136677380,155648
137201669,155648
137725956,155648
138250245,155648
138774528,155648
139298817,155648
139823104,155648
140347393,155648
142968960,155648
143493249,155648
144017536,155648
144541825,155648
145066116,155648
145590405,155648
146114692,155648
146638981,155648
151357440,155648
151881729,155648
152406016,155648
152930305,155648
153454596,155648
153978885,155648
154503172,155648
155027461,155648
155551744,155648
156076033,155648
156600320,155648
157124609,155648
159746240,155648
160270529,155648
160794816,155648
161319105,155648
161843396,155648
162367685,155648
162891972,155648
163416261,155648
168134912,154624
168134656,1024
168659201,154624
168658945,1024
169183488,154624
169183232,1024
169707777,154624
169707521,1024
170232068,154624
170231812,1024
170756357,154624
170756101,1024
171280644,154624
171280388,1024
171804933,154624
171804677,1024
172329216,154624
172328960,1024
172853505,154624
172853249,1024
173377792,154624
173377536,1024
173902081,154624
173901825,1024
176523648,154624
176523392,1024
177047937,154624
177047681,1024
177572224,154624
177571968,1024
178096513,154624
178096257,1024
178620804,154624
178620548,1024
179145093,154624
179144837,1024
179669380,154624
179669124,1024
180193669,154624
180193413,1024
184912128,154624
184911872,1024
185436417,154624
185436161,1024
185960704,154624
185960448,1024
186484993,154624
186484737,1024
187009284,154624
187009028,1024
187533573,154624
187533317,1024
188057860,154624
188057604,1024
188582149,154624
188581893,1024
189106432,154624
189106176,1024
189630721,154624
189630465,1024
190155008,154624
190154752,1024
190679297,154624
190679041,1024
193300928,154624
193300672,1024
193825217,154624
193824961,1024
194349504,154624
194349248,1024
194873793,154624
194873537,1024
195398084,154624
195397828,1024
195922373,154624
195922117,1024
196446660,154624
196446404,1024
196970949,154624
196970693,1024
201702912,524288
202227200,524288
202751488,524288
